Map_index,Spname,Spnum,Rdi,Year surveyed,ESP site name,Buffer radius,Polygon.area.m2
25.2,Macrocystis integrifolia,1,0.2,1992,Destruction Island SW,500 m,10338.342
21.2,Macrocystis integrifolia,1,0.24,1992,Rock 305,500 m,126652.04
21.1,Macrocystis integrifolia,1,0.2,1992,Cape Johnson,500 m,16330.266
21.1,Macrocystis integrifolia,1,0.2,1992,Cape Johnson,500 m,8326.747
21.1,Macrocystis integrifolia,1,0.2,1992,Cape Johnson,500 m,17140.066
21.1,Macrocystis integrifolia,1,0.2,1992,Cape Johnson,500 m,20847.885
19.1,Macrocystis integrifolia,1,0.49,1992,Cape Alava,500 m,177678.719
18.1,Macrocystis integrifolia,1,0.16,1992,Point of the Arches,500 m,12859.926
17.3,Macrocystis integrifolia,1,0.14,1992,Anderson Point,500 m,10241.23
16.2,Macrocystis integrifolia,1,0.42,1992,Chibadehl Rocks,500 m,19802.547
16.2,Macrocystis integrifolia,1,0.42,1992,Chibadehl Rocks,500 m,553.065
16.2,Macrocystis integrifolia,1,0.42,1992,Chibadehl Rocks,500 m,43491.987
16.2,Macrocystis integrifolia,1,0.42,1992,Neah Bay,500 m,144503.004
25.2,Macrocystis integrifolia,1,0.2,1992,Destruction Island SW,1000 m,58308.534
25.2,Macrocystis integrifolia,1,0.2,1992,Destruction Island SW,1000 m,11097.171
25.2,Macrocystis integrifolia,1,0.2,1992,Destruction Island SW,1000 m,690.179
25.2,Macrocystis integrifolia,1,0.2,1992,Destruction Island SW,1000 m,1322.106
25.2,Macrocystis integrifolia,1,0.2,1992,Destruction Island SW,1000 m,10338.342
21.2,Macrocystis integrifolia,1,0.24,1992,Rock 305,1000 m,128054.147
21.2,Macrocystis integrifolia,1,0.24,1992,Rock 305,1000 m,16477.301
21.1,Macrocystis integrifolia,1,0.2,1992,Cape Johnson,1000 m,24013.163
21.1,Macrocystis integrifolia,1,0.2,1992,Cape Johnson,1000 m,8326.747
21.1,Macrocystis integrifolia,1,0.2,1992,Cape Johnson,1000 m,19297.763
21.1,Macrocystis integrifolia,1,0.2,1992,Cape Johnson,1000 m,20847.885
21.1,Macrocystis integrifolia,1,0.2,1992,Cape Johnson,1000 m,31932.719
19.1,Macrocystis integrifolia,1,0.49,1992,Cape Alava,1000 m,189374.584
19.1,Macrocystis integrifolia,1,0.49,1992,Cape Alava,1000 m,376540.616
18.1,Macrocystis integrifolia,1,0.16,1992,Point of the Arches,1000 m,17092.656
17.2,Macrocystis integrifolia,1,0.25,1992,Anderson Point,1000 m,2381.024
17.3,Macrocystis integrifolia,1,0.14,1992,Anderson Point,1000 m,15790.281
16.2,Macrocystis integrifolia,1,0.42,1992,Chibadehl Rocks,1000 m,19802.547
16.2,Macrocystis integrifolia,1,0.42,1992,Chibadehl Rocks,1000 m,14149.704
16.2,Macrocystis integrifolia,1,0.42,1992,Chibadehl Rocks,1000 m,44171.479
16.2,Macrocystis integrifolia,1,0.42,1992,Neah Bay,1000 m,324247.569
16.2,mixed,3,0.42,1992,Chibadehl Rocks,500 m,159233.156
17.2,mixed,3,0.25,1992,Anderson Point,1000 m,48520.76
17.2,mixed,3,0.25,1992,Anderson Point,1000 m,12501.546
16.2,mixed,3,0.42,1992,Chibadehl Rocks,1000 m,358890.618
16.2,mixed,3,0.42,1992,Chibadehl Rocks,1000 m,32855.062
21.2,Nereocystis luetkeana,2,0.24,1992,Rock 305,500 m,4181.676
19.1,Nereocystis luetkeana,2,0.49,1992,Cape Alava,500 m,121.153
19.1,Nereocystis luetkeana,2,0.49,1992,Cape Alava,500 m,54731.482
19.1,Nereocystis luetkeana,2,0.49,1992,Cape Alava,500 m,8966.755
19.1,Nereocystis luetkeana,2,0.49,1992,Cape Alava,500 m,4833.766
19.1,Nereocystis luetkeana,2,0.49,1992,Cape Alava,500 m,5014.086
19.1,Nereocystis luetkeana,2,0.49,1992,Cape Alava,500 m,5844.972
18.1,Nereocystis luetkeana,2,0.16,1992,Point of the Arches,500 m,22171.258
17.3,Nereocystis luetkeana,2,0.14,1992,Anderson Point,500 m,6524.497
16.3,Nereocystis luetkeana,2,0.21,1992,Tatoosh Island,500 m,32321.878
16.3,Nereocystis luetkeana,2,0.21,1992,Tatoosh Island,500 m,3741.353
16.3,Nereocystis luetkeana,2,0.21,1992,Tatoosh Island,500 m,1107.497
16.3,Nereocystis luetkeana,2,0.21,1992,Tatoosh Island,500 m,45477.708
