SITE,Site,Year,Survey,Source,Lat.deg,Lat.min,Lon.deg,Lon.min,depth.m,depth.m.simple,n.quad,group,alt.name,PISCO.sp,mean,sd,notes
Cape Alava,Cape Alava,1999,Transect,"Kvitek 1999, Appx B2",,,,,6,6,3,gastropod,scallop,,0.01,0.02,
W. Chibahdehl,Chibahdel,1999,Transect,"Kvitek 1999, Appx B2",48,23.583,124,40.721,12,12,2,gastropod,scallop,,0.04,0.03,
W. Chibahdehl,Chibahdel,1999,Transect,"Kvitek 1999, Appx B2",48,23.583,124,40.721,18,18,3,gastropod,scallop,,0.05,0.03,
Teawhit Head,Teawhit Head,1999,Transect,"Kvitek 1999, Appx B2",47,52.16,124,36.324,6,6,3,gastropod,scallop,,0.04,0.07,
Alava,Cape Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,100,seastar,,DERIMB,0,0,
Alava,Cape Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,100,seastar,,ORTKOE,0,0,
Alava,Cape Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,100,seastar,,SOLDAW,0,0,
Alava,Cape Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,100,seastar,,SOLSTI,0,0,
Anderson Pt.,Anderson Pt.,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,18.387,124,40.307,6,6,30,seastar,sum of seastars (unided),,0,0,derived from OCNMS_final_Kvitek1999
Anderson Pt. (Osprey I),Anderson Pt.,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,18.387,124,40.307,,4,99,seastar,,ORTKOE,0,0,
Anderson Pt. (Osprey I),Anderson Pt.,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,18.387,124,40.307,,4,99,seastar,,SOLDAW,0,0,
Anderson Pt. (Osprey I),Anderson Pt.,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,18.387,124,40.307,,4,99,seastar,,SOLSTI,0,0,
Cape Johnson,Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,58.385,124,41.037,,4,50,seastar,,ORTKOE,0,0,
Cape Johnson,Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,58.385,124,41.037,,4,50,seastar,,PISOCH,0,0,
Cape Johnson,Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,58.385,124,41.037,,4,50,seastar,,SOLDAW,0,0,
Cape Johnson,Cape Johnson,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,58.385,124,41.037,6,6,30,seastar,sum of seastars (unided),,0,0,derived from OCNMS_final_Kvitek1999
Makah Bay,Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,19.061,124,40.307,,4,49,seastar,,DERIMB,0,0,
Makah Bay,Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,19.061,124,40.307,,4,49,seastar,,EVATRO,0,0,
Makah Bay,Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,19.061,124,40.307,,4,49,seastar,,ORTKOE,0,0,
Makah Bay,Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,19.061,124,40.307,,4,49,seastar,,SOLDAW,0,0,
Makah Bay,Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,19.061,124,40.307,,4,49,seastar,,SOLSTI,0,0,
Neah Bay,Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.143,124,37.877,6,6,30,seastar,sum of seastars (unided),,0,0,derived from OCNMS_final_Kvitek1999
Neah Bay (in),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,seastar,,EVATRO,0,0,
Neah Bay (in),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,seastar,,LEPSPP,0,0,
Neah Bay (in),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,seastar,,SOLDAW,0,0,
Neah Bay (in),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,seastar,,SOLSTI,0,0,
Neah Bay (out),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,seastar,,EVATRO,0,0,
Neah Bay (out),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,seastar,,LEPSPP,0,0,
Neah Bay (out),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,seastar,,SOLSTI,0,0,
Pt. of the Arches,Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,35,seastar,,DERIMB,0,0,
Pt. of the Arches,Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,35,seastar,,EVATRO,0,0,
Pt. of the Arches,Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,35,seastar,,LEPSPP,0,0,
Pt. of the Arches,Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,35,seastar,,ORTKOE,0,0,
Pt. of the Arches,Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,35,seastar,,PYCHEL,0,0,
Pt. of the Arches,Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,35,seastar,,PISOCH,0,0,
Pt. of the Arches,Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,35,seastar,,SOLDAW,0,0,
Pt. of the Arches,Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,35,seastar,,SOLSTI,0,0,
Rock #305,Rock 305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,57.026,124,40.201,,4,50,seastar,,DERIMB,0,0,
Rock #305,Rock 305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,57.026,124,40.201,,4,50,seastar,,ORTKOE,0,0,
Rock #305,Rock 305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,57.026,124,40.201,,4,50,seastar,,SOLSTI,0,0,
Teawhit Head,Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,52.16,124,36.324,,4,100,seastar,,ORTKOE,0,0,
Teawhit Head,Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,52.16,124,36.324,,4,100,seastar,,SOLSTI,0,0,
Anderson Pt. (Osprey I),Anderson Pt.,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,18.387,124,40.307,,4,99,seastar,,EVATRO,0.01,0.1,
Anderson Pt. (Osprey I),Anderson Pt.,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,18.387,124,40.307,,4,99,seastar,,PISOCH,0.01,0.1,
Cape Johnson,Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,58.385,124,41.037,,4,50,seastar,,DERIMB,0.02,0.1,
Cape Johnson,Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,58.385,124,41.037,,4,50,seastar,,LEPSPP,0.02,0.1,
Cape Johnson,Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,58.385,124,41.037,,4,50,seastar,,SOLSTI,0.02,0.1,
Makah Bay,Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,19.061,124,40.307,,4,49,seastar,,PYCHEL,0.02,0.1,
Neah Bay (in),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,seastar,,PISOCH,0.02,0.1,
Neah Bay (out),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,seastar,,SOLDAW,0.02,0.1,
Rock #305,Rock 305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,57.026,124,40.201,,4,50,seastar,,PYCHEL,0.02,0.1,
Rock #305,Rock 305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,57.026,124,40.201,,4,50,seastar,,SOLDAW,0.02,0.1,
Teawhit Head,Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,52.16,124,36.324,,4,100,seastar,,PYCHEL,0.01,0.1,
Teawhit Head,Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,52.16,124,36.324,,4,100,seastar,,SOLDAW,0.01,0.1,
Alava,Cape Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,100,seastar,,PYCHEL,0.05,0.2,
Anderson Pt. (Osprey I),Anderson Pt.,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,18.387,124,40.307,,4,99,seastar,,LEPSPP,0.04,0.2,
Cape Johnson,Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,58.385,124,41.037,,4,50,seastar,,EVATRO,0.06,0.2,
Cape Johnson,Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,58.385,124,41.037,,4,50,seastar,,PYCHEL,0.06,0.2,
Makah Bay,Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,19.061,124,40.307,,4,49,seastar,,LEPSPP,0.04,0.2,
Makah Bay,Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,19.061,124,40.307,,4,49,seastar,,PISOCH,0.06,0.2,
Neah Bay (in),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,seastar,,DERIMB,0.06,0.2,
Rock #305,Rock 305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,57.026,124,40.201,,4,50,seastar,,PISOCH,0.04,0.2,
Teawhit Head,Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,52.16,124,36.324,,4,100,seastar,,DERIMB,0.03,0.2,
Anderson Pt. (Osprey I),Anderson Pt.,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,18.387,124,40.307,,4,99,seastar,,DERIMB,0.08,0.3,
Anderson Pt. (Osprey I),Anderson Pt.,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,18.387,124,40.307,,4,99,seastar,,PYCHEL,0.11,0.3,
Neah Bay (out),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,seastar,,DERIMB,0.1,0.3,
Neah Bay (out),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,seastar,,PISOCH,0.04,0.3,
Pt. of the Arches,Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,35,seastar,,HENLEV,0.1,0.3,
Rock #305,Rock 305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,57.026,124,40.201,,4,50,seastar,,EVATRO,0.08,0.3,
Teawhit Head,Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,52.16,124,36.324,,4,100,seastar,,EVATRO,0.07,0.3,
Alava,Cape Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,100,seastar,,PISOCH,0.1,0.4,
Cape Johnson,Cape Johnson,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,58.385,124,41.037,,4,50,seastar,,HENLEV,0.14,0.4,
Makah Bay,Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,19.061,124,40.307,,4,49,seastar,,HENLEV,0.18,0.4,
Neah Bay (in),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,seastar,,ORTKOE,0.14,0.4,
Neah Bay (out),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,seastar,,ORTKOE,0.12,0.4,
Teawhit Head,Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,52.16,124,36.324,,4,100,seastar,,PISOCH,0.13,0.4,
Alava,Cape Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,100,seastar,,EVATRO,0.16,0.5,
Anderson Pt. (Osprey I),Anderson Pt.,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,18.387,124,40.307,,4,99,seastar,,HENLEV,0.21,0.5,
Neah Bay (in),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,seastar,,PYCHEL,0.22,0.5,
Neah Bay (in),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,seastar,,HENLEV,0.24,0.5,
Neah Bay (out),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,seastar,,HENLEV,0.2,0.5,
Neah Bay (out),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,seastar,,PYCHEL,0.28,0.6,
Rock #305,Rock 305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,57.026,124,40.201,,4,50,seastar,,LEPSPP,0.1,0.6,
Teawhit Head,Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,52.16,124,36.324,,4,100,seastar,,LEPSPP,0.12,0.6,
Alava,Cape Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,100,seastar,,HENLEV,0.35,0.7,
Rock #305,Rock 305,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,57.026,124,40.201,,4,50,seastar,,HENLEV,0.36,0.7,
Neah Bay,Neah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.143,124,37.877,12,12,30,seastar,sum of seastars (unided),,0.133333333,0.730296743,derived from OCNMS_final_Kvitek1999
W. Chibahdehl,Chibahdel,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.583,124,40.721,12,12,30,seastar,sum of seastars (unided),,0.133333333,0.730296743,derived from OCNMS_final_Kvitek1999
Teawhit Head,Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,52.16,124,36.324,,4,100,seastar,,HENLEV,0.51,0.9,
Cape Alava,Cape Alava,1999,Quadrat,"Kvitek 1999, Appx B1-99",,,,,6,6,30,seastar,sum of seastars (unided),,0.266666667,1.014832527,derived from OCNMS_final_Kvitek1999
Cape Flattery,Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.304,124,43.382,12,12,30,seastar,sum of seastars (unided),,0.266666667,1.014832527,derived from OCNMS_final_Kvitek1999
Teawhit Head,Teawhit Head,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,52.16,124,36.324,6,6,30,seastar,sum of seastars (unided),,0.266666667,1.014832527,derived from OCNMS_final_Kvitek1999
Alava,Cape Alava,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,100,seastar,,LEPSPP,0.56,1.2,
Cape Flattery,Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.304,124,43.382,6,6,30,seastar,sum of seastars (unided),,0.4,1.220514307,derived from OCNMS_final_Kvitek1999
Cape Flattery,Cape Flattery,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.304,124,43.382,18,18,30,seastar,sum of seastars (unided),,0.4,1.220514307,derived from OCNMS_final_Kvitek1999
Destruction Island SW,Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,40.294,124,29.148,12,12,30,seastar,sum of seastars (unided),,0.4,1.220514307,derived from OCNMS_final_Kvitek1999
W. Chibahdehl,Chibahdel,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.583,124,40.721,6,6,30,seastar,sum of seastars (unided),,0.4,1.220514307,derived from OCNMS_final_Kvitek1999
W. Chibahdehl,Chibahdel,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.583,124,40.721,18,18,30,seastar,sum of seastars (unided),,0.4,1.220514307,derived from OCNMS_final_Kvitek1999
Destruction Island SW,Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,40.294,124,29.148,6,6,30,seastar,sum of seastars (unided),,0.666666667,1.516196087,derived from OCNMS_final_Kvitek1999
Pt. of the Arches,Pt. of the Arches,1999,Quadrat,"Kvitek 1999, Appx B1-99",,,,,6,6,30,seastar,sum of seastars (unided),,0.666666667,1.516196087,derived from OCNMS_final_Kvitek1999
Destruction Island E,Destruction Island SW,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,40.892,124,28.452,6,6,30,seastar,sum of seastars (unided),,0.8,1.627352409,derived from OCNMS_final_Kvitek1999
Rock #305,Rock 305,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,57.026,124,40.201,6,6,30,seastar,sum of seastars (unided),,0.533333333,1.736689942,derived from OCNMS_final_Kvitek1999
Tatoosh Island,Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.428,124,44.283,6,6,28,seastar,sum of seastars (unided),,0.533333333,1.736689942,derived from OCNMS_final_Kvitek1999
Makah Bay,Makah Bay,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,19.061,124,40.307,6,6,30,seastar,sum of seastars (unided),,0.666666667,1.84453215,derived from OCNMS_final_Kvitek1999
Umatilla Reef,Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,11.045,124,47.093,18,18,30,seastar,sum of seastars (unided),,1.2,2.139932322,derived from OCNMS_final_Kvitek1999
Tatoosh Island,Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.428,124,44.283,12,12,32,seastar,sum of seastars (unided),,0.8,3.04449758,derived from OCNMS_final_Kvitek1999
Umatilla Reef,Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,11.045,124,47.093,12,12,30,seastar,sum of seastars (unided),,2.8,3.346640106,derived from OCNMS_final_Kvitek1999
Perkins Reef,Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,46.3,124,30.2,12,12,25,seastar,sum of seastars (unided),,2.533333333,4.264798442,derived from OCNMS_final_Kvitek1999
Perkins Reef,Perkins Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",47,46.3,124,30.2,6,6,30,seastar,sum of seastars (unided),,3.6,5.288895328,derived from OCNMS_final_Kvitek1999
Umatilla Reef,Umatilla Reef,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,11.045,124,47.093,6,6,30,seastar,sum of seastars (unided),,7.333333333,6.733003292,derived from OCNMS_final_Kvitek1999
Anderson Pt.,Anderson Pt.,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,18.387,124,40.307,6,6,32,urchin,,,0,0,
Anderson Pt.,Anderson Pt.,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,18.387,124,40.307,6,6,30,urchin,,,0,0,
Anderson Pt.,Anderson Pt.,1999,Transect,"Kvitek 1999, Appx B2",48,18.387,124,40.307,6,6,3,urchin,,,0,0,
Cape Alava,Cape Alava,1995,Quadrat,"Kvitek 1999, Appx B1-95",,,,,3-4.5,4,35,urchin,,,0,0,
Cape Alava,Cape Alava,1999,Quadrat,"Kvitek 1999, Appx B1-99",,,,,6,6,30,urchin,,,0,0,
Cape Alava,Cape Alava,1999,Transect,"Kvitek 1999, Appx B2",,,,,6,6,3,urchin,,,0,0,
