"Year","location","prop.pop","tot.pop"
1994,"Teahwhit Head",0.00833615049168038,3.00101417700494
1995,"Anderson Point",0.228239176146163,90.1544745777345
1995,"Cape Alava",0.444737885857468,175.6714649137
1995,"Cape Johnson",0.0600499729733269,23.7197393244641
1995,"Rock 305",0.0625113444379631,24.6919810529954
1995,"Chibadehl Rock",0.00413630531001707,1.63384059745674
1995,"Destruction Island",0.139501074496355,55.10292442606
1995,"Neah Bay",1.17628976381567e-06,0.000464634456707191
1995,"Point of the Arches",0.337081093460274,133.147031916808
1995,"Tatoosh Island",0.11641163273788,45.9825949314627
1995,"Teahwhit Head",0.0254718089580739,10.0613645384392
1996,"Anderson Point",0.0901528573064301,38.7657286417649
1996,"Cape Alava",0.504655991530121,217.002076357952
1996,"Cape Johnson",0.0813721682644626,34.9900323537189
1996,"Rock 305",0.0826848775769565,35.5544973580913
1996,"Chibadehl Rock",0.00253308642473837,1.0892271626375
1996,"Destruction Island",0.0676866155856463,29.1052447018279
1996,"Neah Bay",7.20363498629695e-07,0.000309756304410769
1996,"Point of the Arches",0.101186232524131,43.5100799853764
1996,"Tatoosh Island",0.0713031659997632,30.6603613798982
1996,"Teahwhit Head",0.0182926685147587,7.86584746134622
1997,"Anderson Point",0.0647655802071501,32.5123212639893
1997,"Cape Alava",0.461276863346772,231.56098540008
1997,"Cape Johnson",0.192364125781746,96.5667911424365
1997,"Rock 305",0.193791550986488,97.2833585952169
1997,"Chibadehl Rock",0.0174460130298043,8.75789854096176
1997,"Destruction Island",0.174109975988281,87.4032079461172
1997,"Neah Bay",0.0109295084542177,5.48661324401728
1997,"Point of the Arches",0.134283016800314,67.4100744337576
1997,"Tatoosh Island",0.0368237470499377,18.4855210190687
1997,"Teahwhit Head",0.0172492888028623,8.65914297903688
1998,"Anderson Point",0.0477823892846375,20.689774560248
1998,"Cape Alava",0.428697232083796,185.625901492284
1998,"Cape Johnson",0.134020723751346,58.0309733843329
1998,"Rock 305",0.130483239646589,56.4992427669731
1998,"Chibadehl Rock",0.000691772385380096,0.299537442869582
1998,"Destruction Island",0.245031013381093,106.098428794013
1998,"Neah Bay",1.96727444889966e-07,8.51829836373552e-05
1998,"Point of the Arches",0.134086870657788,58.0596149948224
1998,"Tatoosh Island",0.0194691986490424,8.43016301503536
