"","Year","location","prop.pop","tot.pop"
"86",1992,"Destruction Island",0.100136688556607,31.342783518218
"87",1992,"Neah Bay",0.00238774625335758,0.747364577300923
"88",1992,"Point of the Arches",0.097539580745999,30.5298887734977
"89",1992,"Tatoosh Island",0.117420876224714,36.7527342583354
"90",1992,"Teahwhit Head",0.0622129337151269,19.4726482528347
"91",1993,"Anderson Point",0.199158772025299,61.1417430117668
"92",1993,"Cape Alava",0.190303749799455,58.4232511884328
"93",1993,"Cape Johnson",0.339922528502471,104.356216250259
"94",1993,"Chibadehl Rock",0.0389134474405634,11.9464283642529
"95",1993,"Destruction Island",0.083466799632688,25.6243074872352
"96",1993,"Neah Bay",0.00324588307205742,0.996486103121628
"97",1993,"Point of the Arches",0.117053003271491,35.9352720043479
